taxid	organism_name	annotation_id	annotation_url	assembly_accession	assembly_url	busco_complete	busco_duplicated	busco_single_copy	busco_fragmented	busco_missing
6087	Hydra vulgaris	ffcda17aa3f3588f95cf7c8b7d14e72e	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/396/675/GCF_038396675.1_HydraT2T_AEP/GCF_038396675.1_HydraT2T_AEP_genomic.gff.gz	GCF_038396675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/396/675/GCF_038396675.1_HydraT2T_AEP/GCF_038396675.1_HydraT2T_AEP_genomic.fna.gz	99.2	0.8	98.4	0.0	0.8
6239	Caenorhabditis elegans	3eabb721c4bce53f82ea6cf7df5d3998	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235/GCF_000002985.6_WBcel235_genomic.gff.gz	GCF_000002985.6	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235/GCF_000002985.6_WBcel235_genomic.fna.gz	96.9	0.8	96.1	0.8	2.3
6500	Aplysia californica	88139e7b40ac8d4ab0a68634a7eaa3c9	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/075/GCF_000002075.1_AplCal3.0/GCF_000002075.1_AplCal3.0_genomic.gff.gz	GCF_000002075.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/075/GCF_000002075.1_AplCal3.0/GCF_000002075.1_AplCal3.0_genomic.fna.gz	91.5	0.0	91.5	5.4	3.1
6523	Lymnaea stagnalis	76ffa52c41f51dfb88e33e7bee38fc98	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Lymnaea_stagnalis/GCA_964033795.1/ensembl/geneset/2024_11/genes.gff3.gz	GCA_964033795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/033/795/GCA_964033795.1_LYST_v1/GCA_964033795.1_LYST_v1_genomic.fna.gz	96.9	0.0	96.9	3.1	0.0
6669	Daphnia pulex	3aff5907b3e9d59489cc7fec0d054962	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/134/715/GCF_021134715.1_ASM2113471v1/GCF_021134715.1_ASM2113471v1_genomic.gff.gz	GCF_021134715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/134/715/GCF_021134715.1_ASM2113471v1/GCF_021134715.1_ASM2113471v1_genomic.fna.gz	96.9	1.6	95.3	2.3	0.8
7227	Drosophila melanogaster	75807e8a2d8a4d8edaa80e02d2374b9b	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/215/GCA_000001215.4_Release_6_plus_ISO1_MT/GCA_000001215.4_Release_6_plus_ISO1_MT_genomic.gff.gz	GCA_000001215.4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/215/GCA_000001215.4_Release_6_plus_ISO1_MT/GCA_000001215.4_Release_6_plus_ISO1_MT_genomic.fna.gz	99.2	0.8	98.4	0.0	0.8
7719	Ciona intestinalis	58ba6fdc47283d3abde9916f50ce482a	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/327/825/GCF_018327825.1_ASM1832782v2/GCF_018327825.1_ASM1832782v2_genomic.gff.gz	GCF_018327825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/327/825/GCF_018327825.1_ASM1832782v2/GCF_018327825.1_ASM1832782v2_genomic.fna.gz	95.3	1.6	93.8	1.6	3.1
7757	Petromyzon marinus	ce04c85d073d3015f252bc2a5689e3ca	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/934/315/GCF_048934315.1_UKy_Petmar_22M1.pri1.0/GCF_048934315.1_UKy_Petmar_22M1.pri1.0_genomic.gff.gz	GCF_048934315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/934/315/GCF_048934315.1_UKy_Petmar_22M1.pri1.0/GCF_048934315.1_UKy_Petmar_22M1.pri1.0_genomic.fna.gz	96.1	3.9	92.2	1.6	2.3
7962	Cyprinus carpio	4f933599f9235fc90966f979ce4378ef	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/340/385/GCF_018340385.1_ASM1834038v1/GCF_018340385.1_ASM1834038v1_genomic.gff.gz	GCF_018340385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/340/385/GCF_018340385.1_ASM1834038v1/GCF_018340385.1_ASM1834038v1_genomic.fna.gz	99.2	63.6	35.7	0.0	0.8
8030	Salmo salar	ddcd855c0e3164a30ecb61922d59a7f5	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/058/321/555/GCA_058321555.1_ASM5832155v1/GCA_058321555.1_ASM5832155v1_genomic.gff.gz	GCA_058321555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/058/321/555/GCA_058321555.1_ASM5832155v1/GCA_058321555.1_ASM5832155v1_genomic.fna.gz	100.0	50.4	49.6	0.0	0.0
